pl_name,rastr,decstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef
OGLE-2012-BLG-0026L b,17h34m18.70s,-27d08m33.9s,46.1,2.6,-2.6,0,0.145,0.0082,-0.0082,0,4.0,0.5,-0.5,0,1.06,0.05,-0.05,0.0,4019.0,380.0,-380.0,0.0,7390.0,1280.0,-1280.0,0.0,,,,,,,,,94.12,0.92,-0.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.04,-0.04,0.0,,,,,1
OGLE-2015-BLG-1771L b,17h55m11.76s,-28d51m45.90s,740.9,1388.0,-500.9,0,2.331,4.368,-1.576,0,0.55,0.09,-0.1,0,0.049,0.091,-0.033,0.0,6850.0,1020.0,-1150.0,0.0,,,,,2457235.51,0.01,-0.01,0.0,0.242,0.009000000000000001,-0.009000000000000001,0.0,2.49,0.1,-0.1,0.0,8.27,0.8,-0.8,0.0,1.119,0.006,-0.006,0.0,455.0,45.0,-45.0,0.0,3.349,0.007,-0.007,0.0,20.91,0.05,-0.05,0.0,22.04,0.14,-0.14,0.0,0.07100000000000001,0.01,-0.01,0.0,10.4,1.4,-1.4,0.0,0
OGLE-2015-BLG-0051L b,17h58m39.01s,-28d01m54.1s,230.0,210.0,-20.0,0,0.72,0.65,-0.07,0,0.73,0.08,-0.08,0,0.1,0.09,-0.01,0.0,8200.0,900.0,-900.0,0.0,,,,,2457083.081,0.003,-0.003,0.0,0.224,0.002,-0.002,0.0,10.81,0.07,-0.07,0.0,45.3,0.6,-0.6,0.0,0.963,0.002,-0.002,0.0,74.3,1.3,-1.3,0.0,5.358,0.002,-0.002,0.0,,,,,,,,,0.093,0.008,-0.008,0.0,3.15,0.28,-0.28,0.0,1
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,957.0,737.0,-543.0,0,3.01,2.32,-1.71,0,3.2800000000000002,1.2,-1.3900000000000001,0,0.65,0.5,-0.37,0.0,3560.0,1300.0,-1510.0,0.0,,,,,2457490.489,0.12000000000000001,-0.12000000000000001,0.0,0.047,0.001,-0.001,0.0,44.94,1.33,-1.33,0.0,0.36,0.030000000000000002,-0.030000000000000002,0.0,0.872,0.002,-0.002,0.0,44.3,1.3,-1.3,0.0,4.774,0.022000000000000002,-0.022000000000000002,0.0,22.01,0.04,-0.04,0.0,19.56,,,0.0,1.12,0.22,-0.22,0.0,9.06,1.75,-1.75,0.0,0
MOA-2009-BLG-319L b,18h06m58.13s,-26d49m10.9s,67.3,6.2,-6.2,0,0.212,0.02,-0.02,0,2.03,0.21,-0.21,0,0.524,0.048,-0.048,0.0,7050.0,710.0,-710.0,0.0,8250.0,860.0,-860.0,0.0,2455006.9952,0.0008,-0.0008,0.0,-0.0061,0.0004,-0.0004,0.0,16.72,0.1,-0.1,0.0,,,,,0.9756,0.0001,-0.0001,0.0,3.856,0.029,-0.029,0.0,-2.6299,0.0007,-0.0007,0.0,19.994,0.007,-0.007,0.0,,,,,0.296,0.006,-0.006,0.0,6.472,0.121,-0.121,0.0,1
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,4.5,0.5,-0.5,0,0.014,0.002,-0.002,0,1.18,0.1,-0.1,0,0.234,0.026000000000000002,-0.026000000000000002,0.0,860.0,90.0,-90.0,0.0,,,,,2457984.978,0.004,-0.004,0.0,0.043000000000000003,0.001,-0.001,0.0,62.957,0.863,-0.863,0.0,0.4692,0.009300000000000001,-0.009300000000000001,0.0,0.979,0.0004,-0.0004,0.0,0.5722,0.0145,-0.0145,0.0,4.551,0.002,-0.002,0.0,18.45,0.063,-0.063,0.0,,,,,1.4,0.09,-0.09,0.0,8.1,0.5,-0.5,0.0,1
OGLE-2005-BLG-169L b,18h06m05.32s,-30d43m57.5s,13.2,1.3,-1.3,0,0.0415,0.0041,-0.0041,0,3.4,0.3,-0.3,0,0.65,0.05,-0.05,0.0,4000.0,400.0,-400.0,0.0,8500.0,1500.0,-1500.0,0.0,,,,,0.0012670000000000001,,,0.0,43.63,,,0.0,,,,,,,,,0.615,0.04,-0.04,0.0,,,,,20.81,0.08,-0.08,0.0,,,,,0.838,,,0.0,7.44,0.17,-0.17,0.0,0
KMT-2016-BLG-1820L b,17h55m03.54s,-29d31m00.91s,1450.0,1600.0,-680.0,0,4.57,5.03,-2.14,0,1.08,0.22,-0.22,0,0.039,0.043000000000000003,-0.018000000000000002,0.0,6260.0,1140.0,-1280.0,0.0,,,,,2457632.19,0.02,-0.02,0.0,0.24000000000000002,0.01,-0.01,0.0,4.8100000000000005,0.030000000000000002,-0.030000000000000002,0.0,6.5600000000000005,0.21,-0.21,0.0,1.4,0.01,-0.01,0.0,1130.0,30.0,-30.0,0.0,3.04,0.01,-0.01,0.0,3.37,0.02,-0.02,0.0,,,,,0.123,0.012,-0.012,0.0,9.341,0.882,-0.882,0.0,1
OGLE-2012-BLG-0724L b,17h55m52.39s,-29d49m6.7s,150.0,170.0,-83.0,0,0.47000000000000003,0.54,-0.26,0,1.6,0.4,-0.3,0,0.29,0.33,-0.16,0.0,6700.0,1100.0,-1200.0,0.0,,,,,2456071.0381,0.001,-0.001,0.0,0.008383,0.000612,-0.000612,0.0,13.3556,0.8479,-0.8479,0.0,1.4098,0.1282,-0.1282,0.0,0.9195,0.0053,-0.0053,0.0,15.848,1.451,-1.451,0.0,1.57,0.0117,-0.0117,0.0,21.89,0.07,-0.07,0.0,,,,,0.23900000000000002,0.028,-0.028,0.0,6.52,0.87,-0.87,0.0,1
MOA-2010-BLG-328L b,17h57m59.12s,-30d42m54.63s,15.2,5.9,-5.9,0,0.0478,0.019,-0.019,0,1.21,0.27,-0.27,0,0.12000000000000001,0.02,-0.02,0.0,1240.0,180.0,-180.0,0.0,,,,,2455378.694,0.017,-0.017,0.0,0.0716,0.0007,-0.0007,0.0,64.2,0.6,-0.6,0.0,1.09,0.17,-0.17,0.0,1.18,0.028,-0.028,0.0,3.68,1.26,-1.26,0.0,0.1965,0.0151,-0.0151,0.0,,,,,,,,,0.8300000000000001,0.14,-0.14,0.0,4.72,0.79,-0.79,0.0,0
