kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
6043562,K04764.01,,CANDIDATE,CANDIDATE,,0,0,0,0,31.4202111,0.0004258,-0.0004258,132.7457,0.0118,-0.0118,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m44.75s,+41d19m40.9s,15.809,
10615440,K04765.01,Kepler-1622 b,CONFIRMED,CANDIDATE,,0,0,0,0,10.8118317,0.0001288,-0.0001288,137.13426,0.00858,-0.00858,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h49m18.93s,+47d48m55.7s,13.385,
3848948,K05016.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,0.523632451,3.622e-06,-3.622e-06,131.76512,0.00609,-0.00609,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m15.42s,+38d58m14.4s,10.061,
3852865,K05017.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,492.25299,0.01105,-0.01105,520.86,0.018,-0.018,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m32.45s,+38d55m35.4s,13.465,
3854101,K05018.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,293.5056071,0.0007301,-0.0007301,328.7269,0.00218,-0.00218,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h29m51.58s,+38d54m26.7s,15.184,
3858926,K05019.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,1,25.95247,0.001077,-0.001077,149.0004,0.0326,-0.0326,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h34m49.36s,+38d57m19.0s,13.357,
3859890,K05020.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,4.34573349,3.576e-05,-3.576e-05,134.40693,0.00902,-0.00902,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h35m44.13s,+38d56m41.4s,13.864,
3863877,K05021.01,,CANDIDATE,CANDIDATE,,0,0,0,0,288.07937,0.003761,-0.003761,355.49261,0.00933,-0.00933,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h39m36.78s,+38d57m23.3s,15.212,
3865815,K05022.01,,CANDIDATE,CANDIDATE,,0,0,0,0,117.26808432,,,146.7201011,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h41m24.32s,+38d55m37.3s,12.501,
3867593,K05023.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,73.3377984,0.0001147,-0.0001147,136.58646,0.00124,-0.00124,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h42m47.40s,+38d54m07.2s,13.559,
