star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 62207,HIP 62207,HD 110897,GJ 484,2MASS J12445938+3916441,1,0,0,0,0,0,0,12h44m59.68s,+39d16m42.9s,17.38,0.18,-0.17,5.950,0.020,VT,0.560,0.010,G,G0V,1.120,0.040,V-K
HIP 62229,HIP 62229,HD 110810,,2MASS J12451439-5721288,1,0,0,0,0,0,0,12h45m14.63s,-57d21m27.7s,20.50,0.42,-0.40,7.820,0.000,G,0.940,0.000,G,K3V,0.340,0.050,V-K
HIP 62374,HIP 62374,,GJ 3748,2MASS J12470102+4637334,1,0,0,0,0,0,0,12h47m01.64s,+46d37m36.0s,20.93,1.10,-1.00,11.970,0.240,VT,1.370,0.240,BVT-Red,K:...,0.040,0.420,V-K
HIP 62406,HIP 62406,,GJ 485,2MASS J12472011+3112494,1,0,0,0,0,0,0,12h47m20.10s,+31d12m51.1s,28.35,0.88,-0.83,9.860,0.010,G,1.270,0.010,G,K4V,0.170,0.130,B-V
GJ 486,HIP 62452,,GJ 486,2MASS J12475664+0945050,1,0,0,0,0,0,1,12h47m57.22s,+09d45m09.1s,8.37,0.17,-0.16,11.390,0.000,G,1.560,0.000,G,M4,0.010,0.100,V-K
HIP 62471,HIP 62471,,GJ 1164 B,2MASS J12481003-2448169,1,0,0,0,0,0,0,12h48m10.20s,-24d48m18.0s,16.76,9.02,-4.35,9.790,0.100,VT,1.380,0.040,G,K0,0.070,1.030,V-K
HIP 62472,HIP 62472,HD 111261,GJ 1164 A,2MASS J12481074-2448240,1,0,0,0,0,0,0,12h48m10.91s,-24d48m25.2s,20.38,1.77,-1.51,8.900,0.000,G,1.150,0.010,G,K4/5V,0.180,0.180,V-K
HIP 62505 A,HIP 62505 A,HD 111312,GJ 1165,2MASS J12483229-1543102 A,1,0,0,0,0,0,0,12h48m32.26s,-15d43m10.5s,23.83,1.79,-1.56,7.870,0.010,Koen,0.940,0.010,Koen,K2V,0.440,0.170,V-K
HIP 62512,HIP 62512,HD 111456,GJ 9417,2MASS J12483942+6019115,1,0,0,0,0,0,0,12h48m39.34s,+60d19m11.6s,24.04,1.53,-1.36,5.830,0.020,VT,0.470,0.020,BVT-G-Red,F5V,2.340,0.160,V-K
HIP 62523,HIP 62523,HD 111395,GJ 486.1,2MASS J12484706+2450250,1,0,0,0,0,0,0,12h48m47.26s,+24d50m25.7s,16.93,0.17,-0.17,6.290,0.020,VT,0.700,0.000,G,G7V,0.810,0.040,V-K
HD 111232,HIP 62534,HD 111232,,2MASS J12485177-6825304,1,0,0,0,0,1,1,12h48m51.71s,-68d25m31.5s,29.34,0.60,-0.58,7.590,0.000,G,0.700,0.000,G,G8V,0.740,0.060,V-K
HIP 62556,HIP 62556,,GJ 487,2MASS J12490273+6606366,1,0,0,0,0,0,0,12h49m03.38s,+66d06m37.6s,10.21,0.21,-0.20,10.940,0.010,G,1.630,0.010,G,M4,0.030,0.100,V-K
HIP 62687,HIP 62687,HD 111631,GJ 488,2MASS J12504357-0046047,1,0,0,0,0,0,0,12h50m43.58s,-00d46m01.8s,10.57,0.11,-0.10,8.470,0.010,Koen,1.420,0.010,Koen,M0V,0.110,0.040,V-K
HIP 62942,HIP 62942,HD 112099,,2MASS J12535441+0645463,1,0,0,0,0,0,0,12h53m54.54s,+06d45m45.6s,26.73,0.83,-0.78,8.240,0.010,G,0.850,0.020,G,G5,0.380,0.080,V-K
HIP 62951,HIP 62951,,,2MASS J12535879-1802056,1,0,0,0,0,0,0,12h53m58.73s,-18d02m06.0s,7.53,3.08,-1.69,8.410,0.010,Koen,0.540,0.010,Koen,A2,0.030,0.750,V-K
HIP 62956,HIP 62956,HD 112185,,2MASS J12540170+5557349,1,1,0,0,0,0,0,12h54m01.63s,+55d57m35.4s,25.31,0.26,-0.25,1.760,0.000,G,-0.020,0.000,G,A0p,134.690,0.050,V-K
HIP 63028,HIP 63028,HD 112311 B,,2MASS J12545724+5809387,1,0,0,0,0,0,0,12h54m57.25s,+58d09m39.3s,24.20,7.64,-4.68,9.740,0.040,VT,1.170,0.020,G,G5,0.120,0.650,B-V
HIP 63076,HIP 63076,HD 112429,,2MASS J12552855+6526185,1,0,0,0,0,0,0,12h55m28.56s,+65d26m18.8s,29.29,0.30,-0.29,5.230,0.020,VT,0.290,0.020,BVT-Blue,A5n,5.760,0.040,V-K
