kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_059997_V01_east,N02,west,tfa,V01,21.12506,23.94234,10.524,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.542892,0.028104,10.542400,0.028108,596,0,0.000000,0.021655,1397.949992,0.091420,10.474120,10.616020
KELT_N02_lc_050850_V01_east,N02,east,tfa,V01,36.36765,32.40576,10.646,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.660117,0.008873,10.659350,0.008906,1765,6,0.003399,0.004450,188.926091,0.024740,10.602380,10.728620
KELT_N02_lc_050850_V01_east,N02,west,tfa,V01,36.36765,32.40576,10.758,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.765172,0.011046,10.764100,0.011098,599,0,0.000000,0.006100,195.116989,0.035570,10.732270,10.813930
KELT_N02_lc_062685_V01_east,N02,east,tfa,V01,25.01741,40.68417,10.562,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.572286,0.011150,10.570780,0.011252,1762,6,0.003405,0.005400,261.117553,0.032880,10.534600,10.636000
KELT_N02_lc_062685_V01_east,N02,west,tfa,V01,25.01741,40.68417,10.494,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.498208,0.015581,10.495880,0.015754,593,4,0.006745,0.006050,432.961851,0.040820,10.473200,10.632580
KELT_N02_lc_070516_V01_east,N02,east,tfa,V01,16.15127,39.99095,10.902,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.916026,0.018788,10.912805,0.019062,1758,14,0.007964,0.006955,477.110280,0.050960,10.876500,11.045830
KELT_N02_lc_070516_V01_east,N02,west,tfa,V01,16.15127,39.99095,10.909,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.912425,0.007678,10.911595,0.007723,598,3,0.005017,0.004090,57.615248,0.021530,10.875920,10.974750
KELT_N02_lc_070674_V01_east,N02,west,tfa,V01,28.09250,37.42966,10.981,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.992236,0.011257,10.990910,0.011335,594,1,0.001684,0.006480,121.377235,0.037360,10.964290,11.056780
KELT_N02_lc_048285_V01_east,N02,west,tfa,V01,20.07337,43.51046,10.919,2006-10-27 07:06:26.0,2008-11-24 09:20:47.0,2454035.796138,2454794.889436,10.918628,0.006107,10.918550,0.006108,529,2,0.003781,0.003510,2014.976133,0.017960,10.901520,10.960770
KELT_N02_lc_060222_V01_east,N02,east,tfa,V01,21.53492,34.57909,10.247,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.261817,0.010348,10.260190,0.010476,1769,14,0.007914,0.004470,397.009011,0.026720,10.234460,10.337200
