star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 50191,HIP 50191,HD 88955,,2MASS J10144416-4207189,0,1,0,0,0,0,0,10h14m44.15s,-42d07m19.0s,31.53,0.54,-0.56,3.850,,,0.050,,,A1 V,,,
HIP 52727 A,HIP 52727 A,HD 93497,,2MASS J10464619-4925128 A,0,1,0,0,0,0,0,10h46m46.18s,-49d25m12.9s,35.49,0.61,-0.63,2.690,,,0.900,,,G5 IIIA,,,
HIP 63125,HIP 63125,HD 112413,,2MASS J12560168+3819059,0,1,0,0,0,0,0,12h56m01.67s,+38d19m06.2s,33.78,1.15,-1.23,2.890,,,-0.120,,,A0 II-IIIp SiEuCr,,,
HIP 63608,HIP 63608,HD 113226,,2MASS J13021059+1057329,0,1,0,0,0,0,0,13h02m10.60s,+10d57m32.9s,31.35,0.83,-0.88,2.840,,,0.940,,,G8 III,,,
HIP 67301,HIP 67301,HD 120315,,2MASS J13473244+4918477,0,1,0,0,0,0,0,13h47m32.44s,+49d18m47.8s,30.87,0.69,-0.72,1.860,,,-0.190,,,B3+ V,,,
HIP 68895,HIP 68895,HD 123123,GJ 538.1,2MASS J14062229-2640565,0,1,0,0,0,0,0,14h06m22.30s,-26d40m56.5s,31.08,0.73,-0.76,3.280,,,1.120,,,K2 IIIb,,,
HIP 69732,HIP 69732,HD 125162,GJ 3837,2MASS J14162308+4605177,0,1,0,0,0,0,0,14h16m23.02s,+46d05m17.9s,29.78,0.53,-0.55,4.180,,,0.080,,,A3 Va {lambda} Boo...,,,
HIP 74395,HIP 74395,HD 134505,GJ 9512 A,2MASS J15121710-5205572,0,1,0,0,0,0,0,15h12m17.09s,-52d05m57.3s,35.64,0.88,-0.93,3.410,,,0.920,,,G8 III,,,
HIP 74824,HIP 74824,HD 135379,GJ 580.1,2MASS J15173088-5848043,0,1,0,0,0,0,0,15h17m30.85s,-58d48m04.4s,29.63,0.64,-0.67,4.070,,,0.090,,,A2/3 IV/V,,,
iot Dra,HIP 75458,HD 137759,,2MASS J15245578+5857577,0,1,0,0,0,1,1,15h24m55.77s,+58d57m57.8s,31.67,0.30,-0.30,3.290,,,1.160,,,K2 III,,,
HIP 75695,HIP 75695,HD 137909,,2MASS J15274972+2906202,0,1,0,0,0,0,0,15h27m49.73s,+29d06m20.5s,34.97,0.82,-0.86,3.680,,,0.290,,,A8 V: SrCrEu,,,
HIP 79882,HIP 79882,HD 146791,GJ 3949,2MASS J16181928-0441327,0,1,0,0,0,0,0,16h18m19.29s,-04d41m33.0s,32.96,0.84,-0.88,3.230,,,0.980,,,G9.5 IIIb,,,
HIP 81833,HIP 81833,HD 150997,GJ 636,2MASS J16425376+3855202,0,1,0,0,0,0,0,16h42m53.76s,+38d55m20.1s,34.35,0.60,-0.62,3.500,,,0.920,,,G7.5 IIIb Fe-1,,,
HIP 87108,HIP 87108,HD 161868,,2MASS J17475355+0242262,0,1,0,0,0,0,0,17h47m53.56s,+02d42m26.2s,29.05,0.81,-0.86,3.750,,,0.040,,,A1 Vn kA0mA0,,,
HIP 87585,HIP 87585,HD 163588,,2MASS J17533173+5652216,0,1,0,0,0,0,0,17h53m31.73s,+56d52m21.5s,34.18,0.56,-0.58,3.750,,,1.180,,,K2 III,,,
HIP 90139,HIP 90139,HD 169414,,2MASS J18234188+2146108,0,1,0,0,0,0,0,18h23m41.89s,+21d46m11.1s,39.37,0.98,-1.03,3.840,,,1.180,,,K0,,,
HIP 98495,HIP 98495,HD 188228,,2MASS J20003558-7254380,0,1,0,0,0,0,0,20h00m35.55s,-72d54m37.8s,32.54,0.57,-0.59,3.960,,,-0.030,,,A0 Va,,,
HIP 109268,HIP 109268,HD 209952,GJ 848.2,2MASS J22081397-4657393,0,1,0,0,0,0,0,22h08m13.98s,-46d57m39.5s,31.09,0.77,-0.81,1.740,,,-0.130,,,B7 IV,,,
HIP 111169,HIP 111169,HD 213558,,2MASS J22311751+5016571,0,1,0,0,0,0,0,22h31m17.50s,+50d16m57.0s,31.39,0.52,-0.54,3.770,,,0.010,,,A0,,,
HIP 112724,HIP 112724,HD 216228,,2MASS J22494081+6612013,0,1,0,0,0,0,0,22h49m40.82s,+66d12m01.5s,35.37,0.64,-0.66,3.530,,,1.050,,,K0 III,,,
HIP 112748,HIP 112748,HD 216131,GJ 4298,2MASS J22500017+2436056,0,1,0,0,0,0,0,22h50m00.19s,+24d36m05.7s,35.78,0.96,-1.01,3.480,,,0.940,,,G8 III,,,
HIP 113638,HIP 113638,HD 217364,,2MASS J23005281-5245150,0,1,0,0,0,0,0,23h00m52.81s,-52d45m14.9s,34.49,1.49,-1.63,4.120,,,0.980,,,G8/K0 III,,,
HIP 118268,HIP 118268,HD 224617,,2MASS J23591867+0651478,0,1,0,0,0,0,0,23h59m18.69s,+06d51m48.0s,32.49,0.89,-0.94,4.010,,,0.420,,,F5,,,
HD 7449,HIP 5806,HD 7449,,2MASS J01142933-0502504,0,1,0,0,0,1,1,01h14m29.32s,-05d02m50.6s,38.71,0.06,-0.06,7.483,0.011,,0.594,0.019,,G0 V,,,
HD 106515 A,HIP 59743 A,HD 106515 A,GJ 9398 A,2MASS J12150658-0715263,0,1,0,0,0,1,1,12h15m06.57s,-07d15m26.4s,34.12,0.08,-0.08,7.972,0.014,,0.821,0.025,,G5,1.230,,
HD 196067,HIP 102125,HD 196067,,2MASS J20414409-7521029,0,1,0,0,0,1,1,20h41m44.09s,-75d21m02.9s,39.98,0.05,-0.05,6.030,,,0.620,,,G1 V,3.730,,
GJ 317,,,GJ 317,2MASS J08405923-2327232,0,0,1,0,0,1,2,08h40m59.22s,-23d27m22.6s,15.10,0.22,-0.22,11.970,0.014,,1.500,0.044,,M2.5 V,,,
HD 13931,HIP 10626,HD 13931,,2MASS J02164736+4346230,0,0,1,0,0,1,1,02h16m47.38s,+43d46m22.8s,47.46,0.14,-0.14,7.597,0.011,,0.642,0.019,,G0,,,
HD 38529,HIP 27253,HD 38529,,2MASS J05463492+0110053,0,0,1,0,0,1,2,05h46m34.91s,+01d10m05.5s,42.41,0.11,-0.11,5.950,,,0.780,,,G4 IV,,,
HD 72659,HIP 42030,HD 72659,,2MASS J08340320-0134056,0,0,1,0,0,1,1,08h34m03.19s,-01d34m05.6s,51.97,0.14,-0.14,7.460,,,0.612,,,G2 V,,,
HD 89307,HIP 50473,HD 89307,,2MASS J10182131+1237160,0,0,1,0,0,1,1,10h18m21.29s,+12d37m16.0s,32.04,0.05,-0.05,7.009,0.011,,0.590,0.020,,G0,,,
HD 117207,HIP 65808,HD 117207,,2MASS J13292114-3534154,0,0,1,0,0,1,1,13h29m21.11s,-35d34m15.6s,32.38,0.05,-0.05,7.240,,,0.727,0.014,,G8 IV/V,,,
HD 142022 A,HIP 79242,HD 142022 A,GJ 606.1 A,2MASS J16101494-8413536,0,0,1,0,0,1,1,16h10m15.02s,-84d13m53.8s,34.31,0.03,-0.03,7.700,,,0.790,,,K0,,,
HD 169830,HIP 90485,HD 169830,,2MASS J18274949-2949007,0,0,1,0,0,1,2,18h27m49.48s,-29d49m00.7s,37.64,0.15,-0.15,5.902,0.010,,0.505,0.017,,F8 V,4.590,,
HD 187123,HIP 97336,HD 187123,,2MASS J19465809+3425105,0,0,1,0,0,1,2,19h46m58.11s,+34d25m10.3s,46.02,0.07,-0.07,7.832,0.011,,0.656,0.019,,G3 V,1.350,,
HD 220773,HIP 115697,HD 220773,,2MASS J23262744+0838376,0,0,1,0,0,1,1,23h26m27.44s,+08d38m37.8s,49.00,,,7.093,,,0.632,,,F9,,,
HD 222155,HIP 116616,HD 222155,,2MASS J23380027+4859475,0,0,1,0,0,1,1,23h38m00.31s,+48d59m47.5s,50.68,0.08,-0.08,7.114,0.010,,0.645,0.018,,G2 V,,,
HIP 110960 A,HIP 110960 A,HD 213052,,2MASS J22284987-0001124 A,1,1,0,0,0,0,0,22h28m49.80s,-00d01m12.2s,28.17,1.17,-1.08,3.650,0.010,G,0.410,0.020,G,F3III-IV,23.180,0.130,V-K
HIP 112447,HIP 112447,HD 215648,GJ 872 A,2MASS J22464156+1210228,1,1,1,0,1,1,0,22h46m41.44s,+12d10m26.7s,16.30,,,4.200,0.000,G,0.500,0.010,G,F7V,4.860,0.100,V-K
HD 216437,HIP 113137,HD 216437,,2MASS J22543949-7004254,1,0,1,0,0,1,1,22h54m39.56s,-70d04m26.0s,26.75,0.27,-0.26,6.040,0.000,G,0.660,0.000,G,G2/3IV,2.440,0.050,V-K
51 Peg,HIP 113357,HD 217014,GJ 882,2MASS J22572795+2046077,1,0,1,0,0,1,1,22h57m27.85s,+20d46m07.3s,15.61,0.16,-0.15,5.450,0.020,VT,0.670,0.010,G,G5V,1.450,0.040,V-K
